typeProject;before;project;version;file;start;end;resource;multiCatch;catches;stmt1;stmt2;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife/src/main/java/butterknife/internal/Utils.java;125;137;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife/src/main/java/butterknife/internal/Utils.java;109;120;false;false;1;3;4;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife/src/main/java/butterknife/internal/Utils.java;125;137;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife/src/main/java/butterknife/ButterKnife.java;198;213;false;true;3;3;16;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife/src/main/java/butterknife/ButterKnife.java;228;238;false;false;2;6;8;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife/src/main/java/butterknife/ButterKnife.java;198;213;false;true;3;3;16;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife/src/main/java/butterknife/ButterKnife.java;228;238;false;false;2;6;8;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife/src/test/java/butterknife/TestGeneratingProcessor.java;50;63;false;false;1;4;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife/src/test/java/butterknife/TestGeneratingProcessor.java;57;61;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife/src/test/java/butterknife/TestGeneratingProcessor.java;50;63;false;false;1;4;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife/src/test/java/butterknife/TestGeneratingProcessor.java;57;61;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;131;138;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;144;147;false;false;1;3;2;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;189;193;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;208;212;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;218;222;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;228;232;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;238;242;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;248;252;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;258;262;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;268;272;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;278;282;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;288;292;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;299;303;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;310;314;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;913;921;false;false;1;3;5;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;1273;1277;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;131;138;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;144;147;false;false;1;3;2;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;189;193;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;208;212;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;218;222;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;228;232;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;238;242;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;248;252;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;258;262;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;268;272;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;278;282;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;288;292;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;299;303;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;310;314;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;913;921;false;false;1;3;5;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;1273;1277;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/BindingSet.java;507;523;false;false;1;13;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/BindingSet.java;507;523;false;false;1;13;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-lint/src/test/java/butterknife/lint/LintDetectorTestBase.java;23;29;false;false;1;3;5;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-lint/src/test/java/butterknife/lint/LintDetectorTestBase.java;38;43;false;false;1;4;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-lint/src/test/java/butterknife/lint/LintDetectorTestBase.java;23;29;false;false;1;3;5;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-lint/src/test/java/butterknife/lint/LintDetectorTestBase.java;38;43;false;false;1;4;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife/src/androidTest/java/butterknife/internal/UtilsTest.java;37;44;false;false;1;4;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife/src/androidTest/java/butterknife/internal/UtilsTest.java;50;57;false;false;1;4;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife/src/androidTest/java/butterknife/internal/UtilsTest.java;37;44;false;false;1;4;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife/src/androidTest/java/butterknife/internal/UtilsTest.java;50;57;false;false;1;4;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife/src/main/java/butterknife/internal/Utils.java;109;120;false;false;1;3;4;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife/src/main/java/butterknife/internal/Utils.java;125;137;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife/src/main/java/butterknife/internal/Utils.java;109;120;false;false;1;3;4;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife/src/main/java/butterknife/internal/Utils.java;125;137;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife/src/main/java/butterknife/ButterKnife.java;198;213;false;true;3;3;16;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife/src/main/java/butterknife/ButterKnife.java;228;238;false;false;2;6;8;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife/src/main/java/butterknife/ButterKnife.java;198;213;false;true;3;3;16;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife/src/main/java/butterknife/ButterKnife.java;228;238;false;false;2;6;8;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife/src/test/java/butterknife/TestGeneratingProcessor.java;50;63;false;false;1;4;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife/src/test/java/butterknife/TestGeneratingProcessor.java;57;61;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife/src/test/java/butterknife/TestGeneratingProcessor.java;50;63;false;false;1;4;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife/src/test/java/butterknife/TestGeneratingProcessor.java;57;61;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;131;138;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;144;147;false;false;1;3;2;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;189;193;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;208;212;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;218;222;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;228;232;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;238;242;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;248;252;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;258;262;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;268;272;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;278;282;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;288;292;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;299;303;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;310;314;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;913;921;false;false;1;3;5;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;1273;1277;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;131;138;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;144;147;false;false;1;3;2;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;189;193;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;208;212;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;218;222;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;228;232;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;238;242;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;248;252;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;258;262;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;268;272;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;278;282;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;288;292;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;299;303;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;310;314;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;913;921;false;false;1;3;5;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java;1273;1277;false;false;1;3;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/BindingSet.java;507;523;false;false;1;13;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/BindingSet.java;507;523;false;false;1;13;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-lint/src/test/java/butterknife/lint/LintDetectorTestBase.java;23;29;false;false;1;3;5;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-lint/src/test/java/butterknife/lint/LintDetectorTestBase.java;38;43;false;false;1;4;3;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-lint/src/test/java/butterknife/lint/LintDetectorTestBase.java;23;29;false;false;1;3;5;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-lint/src/test/java/butterknife/lint/LintDetectorTestBase.java;38;43;false;false;1;4;3;
