typeProject;before;project;version;file;start;end;name;varArgs;parameterizedMethod;synchronized;parameterizedType;annotations;defaultMethod;
;;PhotoView;1;/home/les-02/NovoTGLambda/projects/PhotoView/sample/src/main/java/com/github/chrisbanes/photoview/sample/ImageAdapter.java;14;16;ImageAdapter;false;false;false;none;[];false;
;;PhotoView;1;/home/les-02/NovoTGLambda/projects/PhotoView/sample/src/main/java/com/github/chrisbanes/photoview/sample/ImageAdapter.java;18;28;onCreateViewHolder;false;false;false;none;[Override];false;
;;PhotoView;1;/home/les-02/NovoTGLambda/projects/PhotoView/sample/src/main/java/com/github/chrisbanes/photoview/sample/ImageAdapter.java;22;25;onClick;false;false;false;none;[Override];false;
;;PhotoView;1;/home/les-02/NovoTGLambda/projects/PhotoView/sample/src/main/java/com/github/chrisbanes/photoview/sample/ImageAdapter.java;30;33;onBindViewHolder;false;false;false;none;[Override];false;
;;PhotoView;1;/home/les-02/NovoTGLambda/projects/PhotoView/sample/src/main/java/com/github/chrisbanes/photoview/sample/ImageAdapter.java;35;38;getItemCount;false;false;false;none;[Override];false;
;;PhotoView;1;/home/les-02/NovoTGLambda/projects/PhotoView/sample/src/main/java/com/github/chrisbanes/photoview/sample/ImageAdapter.java;41;41;onImageClicked;false;false;false;none;[];false;
;;PhotoView;1;/home/les-02/NovoTGLambda/projects/PhotoView/sample/src/main/java/com/github/chrisbanes/photoview/sample/HackyDrawerLayout.java;20;22;HackyDrawerLayout;false;false;false;none;[];false;
;;PhotoView;1;/home/les-02/NovoTGLambda/projects/PhotoView/sample/src/main/java/com/github/chrisbanes/photoview/sample/HackyDrawerLayout.java;24;32;onInterceptTouchEvent;false;false;false;none;[Override];false;
;;PhotoView;1;/home/les-02/NovoTGLambda/projects/PhotoView/sample/src/main/java/com/github/chrisbanes/photoview/sample/HackyViewPager.java;23;25;HackyViewPager;false;false;false;none;[];false;
;;PhotoView;1;/home/les-02/NovoTGLambda/projects/PhotoView/sample/src/main/java/com/github/chrisbanes/photoview/sample/HackyViewPager.java;27;29;HackyViewPager;false;false;false;none;[];false;
;;PhotoView;1;/home/les-02/NovoTGLambda/projects/PhotoView/sample/src/main/java/com/github/chrisbanes/photoview/sample/HackyViewPager.java;31;38;onInterceptTouchEvent;false;false;false;none;[Override];false;
;;PhotoView;1;/home/les-02/NovoTGLambda/projects/PhotoView/sample/src/main/java/com/github/chrisbanes/photoview/sample/LauncherActivity.java;41;50;onCreate;false;false;false;none;[Override];false;
;;PhotoView;1;/home/les-02/NovoTGLambda/projects/PhotoView/sample/src/main/java/com/github/chrisbanes/photoview/sample/LauncherActivity.java;54;88;onCreateViewHolder;false;false;false;none;[Override];false;
;;PhotoView;1;/home/les-02/NovoTGLambda/projects/PhotoView/sample/src/main/java/com/github/chrisbanes/photoview/sample/LauncherActivity.java;58;85;onClick;false;false;false;none;[Override];false;
;;PhotoView;1;/home/les-02/NovoTGLambda/projects/PhotoView/sample/src/main/java/com/github/chrisbanes/photoview/sample/LauncherActivity.java;90;93;onBindViewHolder;false;false;false;none;[Override];false;
;;PhotoView;1;/home/les-02/NovoTGLambda/projects/PhotoView/sample/src/main/java/com/github/chrisbanes/photoview/sample/LauncherActivity.java;95;98;getItemCount;false;false;false;none;[Override];false;
;;PhotoView;1;/home/les-02/NovoTGLambda/projects/PhotoView/sample/src/main/java/com/github/chrisbanes/photoview/sample/LauncherActivity.java;103;107;newInstance;false;false;false;none;[];false;
;;PhotoView;1;/home/les-02/NovoTGLambda/projects/PhotoView/sample/src/main/java/com/github/chrisbanes/photoview/sample/LauncherActivity.java;111;114;ItemViewHolder;false;false;false;none;[];false;
;;PhotoView;1;/home/les-02/NovoTGLambda/projects/PhotoView/sample/src/main/java/com/github/chrisbanes/photoview/sample/LauncherActivity.java;116;118;bind;false;false;false;none;[];false;
;;PhotoView;1;/home/les-02/NovoTGLambda/projects/PhotoView/sample/src/main/java/com/github/chrisbanes/photoview/sample/ImmersiveActivity.java;23;39;onCreate;false;false;false;none;[Override];false;
;;PhotoView;1;/home/les-02/NovoTGLambda/projects/PhotoView/sample/src/main/java/com/github/chrisbanes/photoview/sample/ImmersiveActivity.java;33;36;onPhotoTap;false;false;false;none;[Override];false;
;;PhotoView;1;/home/les-02/NovoTGLambda/projects/PhotoView/sample/src/main/java/com/github/chrisbanes/photoview/sample/ImmersiveActivity.java;41;81;fullScreen;false;false;false;none;[];false;
;;PhotoView;1;/home/les-02/NovoTGLambda/projects/PhotoView/sample/src/main/java/com/github/chrisbanes/photoview/sample/ImmersiveActivity.java;83;85;isImmersiveModeEnabled;false;false;false;none;[];false;
;;PhotoView;1;/home/les-02/NovoTGLambda/projects/PhotoView/sample/src/main/java/com/github/chrisbanes/photoview/sample/PicassoSampleActivity.java;12;22;onCreate;false;false;false;none;[Override];false;
;;PhotoView;1;/home/les-02/NovoTGLambda/projects/PhotoView/sample/src/main/java/com/github/chrisbanes/photoview/sample/ActivityTransitionToActivity.java;12;16;onCreate;false;false;false;none;[Override];false;
;;PhotoView;1;/home/les-02/NovoTGLambda/projects/PhotoView/sample/src/main/java/com/github/chrisbanes/photoview/sample/ActivityTransitionActivity.java;30;44;onCreate;false;false;false;none;[Override];false;
;;PhotoView;1;/home/les-02/NovoTGLambda/projects/PhotoView/sample/src/main/java/com/github/chrisbanes/photoview/sample/ActivityTransitionActivity.java;38;41;onImageClicked;false;false;false;none;[Override];false;
;;PhotoView;1;/home/les-02/NovoTGLambda/projects/PhotoView/sample/src/main/java/com/github/chrisbanes/photoview/sample/ActivityTransitionActivity.java;46;55;transition;false;false;false;none;[];false;
;;PhotoView;1;/home/les-02/NovoTGLambda/projects/PhotoView/sample/src/main/java/com/github/chrisbanes/photoview/sample/ViewPagerActivity.java;30;37;onCreate;false;false;false;none;[Override];false;
;;PhotoView;1;/home/les-02/NovoTGLambda/projects/PhotoView/sample/src/main/java/com/github/chrisbanes/photoview/sample/ViewPagerActivity.java;44;47;getCount;false;false;false;none;[Override];false;
;;PhotoView;1;/home/les-02/NovoTGLambda/projects/PhotoView/sample/src/main/java/com/github/chrisbanes/photoview/sample/ViewPagerActivity.java;49;58;instantiateItem;false;false;false;none;[Override];false;
;;PhotoView;1;/home/les-02/NovoTGLambda/projects/PhotoView/sample/src/main/java/com/github/chrisbanes/photoview/sample/ViewPagerActivity.java;60;63;destroyItem;false;false;false;none;[Override];false;
