typeProject;before;project;version;file;start;end;resource;multiCatch;catches;stmt1;stmt2;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/LeakCanaryInternals.java;98;103;false;false;1;3;3;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/LeakCanaryInternals.java;88;93;false;false;1;3;4;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/LeakCanaryInternals.java;98;103;false;false;1;3;3;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/DisplayLeakActivity.java;462;485;false;false;1;7;8;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/DisplayLeakActivity.java;480;483;false;false;1;3;2;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/DisplayLeakActivity.java;462;485;false;false;1;7;8;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/DisplayLeakActivity.java;480;483;false;false;1;3;2;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/FutureResult.java;33;37;false;false;1;3;3;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/FutureResult.java;33;37;false;false;1;3;3;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/AndroidHeapDumper.java;59;67;false;false;1;5;4;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/AndroidHeapDumper.java;59;67;false;false;1;5;4;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/AbstractAnalysisResultService.java;30;34;false;false;1;3;3;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/AbstractAnalysisResultService.java;48;53;false;false;0;3;0;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/AbstractAnalysisResultService.java;30;34;false;false;1;3;3;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/AbstractAnalysisResultService.java;48;53;false;false;0;3;0;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/LeakCanary.java;70;74;false;false;1;3;3;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/LeakCanary.java;70;74;false;false;1;3;3;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/DisplayLeakService.java;92;107;false;false;1;7;3;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/DisplayLeakService.java;102;105;false;false;1;3;2;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/DisplayLeakService.java;92;107;false;false;1;7;3;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/DisplayLeakService.java;102;105;false;false;1;3;2;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-watcher/src/main/java/com/squareup/leakcanary/GcTrigger.java;39;43;false;false;1;3;3;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-watcher/src/main/java/com/squareup/leakcanary/GcTrigger.java;39;43;false;false;1;3;3;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-analyzer/src/main/java/com/squareup/leakcanary/HeapAnalyzer.java;72;95;false;false;1;20;3;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-analyzer/src/main/java/com/squareup/leakcanary/HeapAnalyzer.java;110;126;false;false;1;11;3;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-analyzer/src/main/java/com/squareup/leakcanary/HeapAnalyzer.java;302;315;false;false;1;10;2;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-analyzer/src/main/java/com/squareup/leakcanary/HeapAnalyzer.java;72;95;false;false;1;20;3;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-analyzer/src/main/java/com/squareup/leakcanary/HeapAnalyzer.java;110;126;false;false;1;11;3;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-analyzer/src/main/java/com/squareup/leakcanary/HeapAnalyzer.java;302;315;false;false;1;10;2;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-analyzer/src/test/java/com/squareup/leakcanary/HahaHelperTest.java;106;113;false;false;1;4;4;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-analyzer/src/test/java/com/squareup/leakcanary/HahaHelperTest.java;106;113;false;false;1;4;4;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-analyzer/src/test/java/com/squareup/leakcanary/FakeHprofBuffer.java;44;48;false;false;1;3;3;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-analyzer/src/test/java/com/squareup/leakcanary/FakeHprofBuffer.java;44;48;false;false;1;3;3;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/LeakCanaryInternals.java;88;93;false;false;1;3;4;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/LeakCanaryInternals.java;98;103;false;false;1;3;3;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/LeakCanaryInternals.java;88;93;false;false;1;3;4;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/LeakCanaryInternals.java;98;103;false;false;1;3;3;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/DisplayLeakActivity.java;462;485;false;false;1;7;8;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/DisplayLeakActivity.java;480;483;false;false;1;3;2;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/DisplayLeakActivity.java;462;485;false;false;1;7;8;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/DisplayLeakActivity.java;480;483;false;false;1;3;2;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/FutureResult.java;33;37;false;false;1;3;3;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/FutureResult.java;33;37;false;false;1;3;3;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/AndroidHeapDumper.java;59;67;false;false;1;5;4;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/AndroidHeapDumper.java;59;67;false;false;1;5;4;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/AbstractAnalysisResultService.java;30;34;false;false;1;3;3;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/AbstractAnalysisResultService.java;48;53;false;false;0;3;0;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/AbstractAnalysisResultService.java;30;34;false;false;1;3;3;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/AbstractAnalysisResultService.java;48;53;false;false;0;3;0;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/LeakCanary.java;70;74;false;false;1;3;3;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/LeakCanary.java;70;74;false;false;1;3;3;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/DisplayLeakService.java;92;107;false;false;1;7;3;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/DisplayLeakService.java;102;105;false;false;1;3;2;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/DisplayLeakService.java;92;107;false;false;1;7;3;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/DisplayLeakService.java;102;105;false;false;1;3;2;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-watcher/src/main/java/com/squareup/leakcanary/GcTrigger.java;39;43;false;false;1;3;3;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-watcher/src/main/java/com/squareup/leakcanary/GcTrigger.java;39;43;false;false;1;3;3;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-analyzer/src/main/java/com/squareup/leakcanary/HeapAnalyzer.java;72;95;false;false;1;20;3;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-analyzer/src/main/java/com/squareup/leakcanary/HeapAnalyzer.java;110;126;false;false;1;11;3;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-analyzer/src/main/java/com/squareup/leakcanary/HeapAnalyzer.java;302;315;false;false;1;10;2;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-analyzer/src/main/java/com/squareup/leakcanary/HeapAnalyzer.java;72;95;false;false;1;20;3;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-analyzer/src/main/java/com/squareup/leakcanary/HeapAnalyzer.java;110;126;false;false;1;11;3;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-analyzer/src/main/java/com/squareup/leakcanary/HeapAnalyzer.java;302;315;false;false;1;10;2;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-analyzer/src/test/java/com/squareup/leakcanary/HahaHelperTest.java;106;113;false;false;1;4;4;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-analyzer/src/test/java/com/squareup/leakcanary/HahaHelperTest.java;106;113;false;false;1;4;4;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-analyzer/src/test/java/com/squareup/leakcanary/FakeHprofBuffer.java;44;48;false;false;1;3;3;
;;leakcanary;1;/home/les-02/NovoTGLambda/projetos/leakcanary/leakcanary-analyzer/src/test/java/com/squareup/leakcanary/FakeHprofBuffer.java;44;48;false;false;1;3;3;
;;leakcanary;1;/home/les-02/NovoTGLambda/projects/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/LeakCanaryInternals.java;88;93;false;false;1;3;4;
;;leakcanary;1;/home/les-02/NovoTGLambda/projects/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/LeakCanaryInternals.java;98;103;false;false;1;3;3;
;;leakcanary;1;/home/les-02/NovoTGLambda/projects/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/LeakCanaryInternals.java;88;93;false;false;1;3;4;
;;leakcanary;1;/home/les-02/NovoTGLambda/projects/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/LeakCanaryInternals.java;98;103;false;false;1;3;3;
;;leakcanary;1;/home/les-02/NovoTGLambda/projects/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/DisplayLeakActivity.java;462;485;false;false;1;7;8;
;;leakcanary;1;/home/les-02/NovoTGLambda/projects/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/DisplayLeakActivity.java;480;483;false;false;1;3;2;
;;leakcanary;1;/home/les-02/NovoTGLambda/projects/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/DisplayLeakActivity.java;462;485;false;false;1;7;8;
;;leakcanary;1;/home/les-02/NovoTGLambda/projects/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/DisplayLeakActivity.java;480;483;false;false;1;3;2;
;;leakcanary;1;/home/les-02/NovoTGLambda/projects/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/FutureResult.java;33;37;false;false;1;3;3;
;;leakcanary;1;/home/les-02/NovoTGLambda/projects/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/FutureResult.java;33;37;false;false;1;3;3;
;;leakcanary;1;/home/les-02/NovoTGLambda/projects/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/AndroidHeapDumper.java;59;67;false;false;1;5;4;
;;leakcanary;1;/home/les-02/NovoTGLambda/projects/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/AndroidHeapDumper.java;59;67;false;false;1;5;4;
;;leakcanary;1;/home/les-02/NovoTGLambda/projects/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/AbstractAnalysisResultService.java;30;34;false;false;1;3;3;
;;leakcanary;1;/home/les-02/NovoTGLambda/projects/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/AbstractAnalysisResultService.java;48;53;false;false;0;3;0;
;;leakcanary;1;/home/les-02/NovoTGLambda/projects/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/AbstractAnalysisResultService.java;30;34;false;false;1;3;3;
;;leakcanary;1;/home/les-02/NovoTGLambda/projects/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/AbstractAnalysisResultService.java;48;53;false;false;0;3;0;
;;leakcanary;1;/home/les-02/NovoTGLambda/projects/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/LeakCanary.java;70;74;false;false;1;3;3;
;;leakcanary;1;/home/les-02/NovoTGLambda/projects/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/LeakCanary.java;70;74;false;false;1;3;3;
;;leakcanary;1;/home/les-02/NovoTGLambda/projects/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/DisplayLeakService.java;92;107;false;false;1;7;3;
;;leakcanary;1;/home/les-02/NovoTGLambda/projects/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/DisplayLeakService.java;102;105;false;false;1;3;2;
;;leakcanary;1;/home/les-02/NovoTGLambda/projects/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/DisplayLeakService.java;92;107;false;false;1;7;3;
