typeProject;before;project;version;file;start;end;resource;multiCatch;catches;stmt1;stmt2;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/samples/guide/src/main/java/okhttp3/recipes/RewriteResponseCacheControl.java;69;74;true;false;0;6;0;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/samples/guide/src/main/java/okhttp3/recipes/CertificatePinning.java;42;48;true;false;0;7;0;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/samples/guide/src/main/java/okhttp3/recipes/CertificatePinning.java;42;48;true;false;0;7;0;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/samples/guide/src/main/java/okhttp3/recipes/Authenticate.java;53;57;true;false;0;5;0;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/samples/guide/src/main/java/okhttp3/recipes/Authenticate.java;53;57;true;false;0;5;0;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/samples/guide/src/main/java/okhttp3/recipes/PerCallSettings.java;36;40;true;false;1;3;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/samples/guide/src/main/java/okhttp3/recipes/PerCallSettings.java;46;50;true;false;1;3;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/samples/guide/src/main/java/okhttp3/recipes/PerCallSettings.java;36;40;true;false;1;3;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/samples/guide/src/main/java/okhttp3/recipes/PerCallSettings.java;46;50;true;false;1;3;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/samples/guide/src/main/java/okhttp3/recipes/CustomTrust.java;45;52;false;false;1;6;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/samples/guide/src/main/java/okhttp3/recipes/CustomTrust.java;64;73;true;false;0;9;0;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/samples/guide/src/main/java/okhttp3/recipes/CustomTrust.java;208;215;false;false;1;6;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/samples/guide/src/main/java/okhttp3/recipes/CustomTrust.java;45;52;false;false;1;6;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/samples/guide/src/main/java/okhttp3/recipes/CustomTrust.java;64;73;true;false;0;9;0;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/samples/guide/src/main/java/okhttp3/recipes/CustomTrust.java;208;215;false;false;1;6;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/samples/guide/src/main/java/okhttp3/recipes/SynchronousGet.java;32;41;true;false;0;9;0;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/samples/guide/src/main/java/okhttp3/recipes/SynchronousGet.java;32;41;true;false;0;9;0;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/samples/guide/src/main/java/okhttp3/recipes/CheckHandshake.java;54;58;true;false;0;5;0;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/samples/guide/src/main/java/okhttp3/recipes/CheckHandshake.java;54;58;true;false;0;5;0;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/samples/guide/src/main/java/okhttp3/recipes/CancelCall.java;49;55;true;false;1;3;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/samples/guide/src/main/java/okhttp3/recipes/CancelCall.java;49;55;true;false;1;3;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/samples/guide/src/main/java/okhttp3/recipes/PostMultipart.java;52;56;true;false;0;5;0;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/samples/guide/src/main/java/okhttp3/recipes/PostMultipart.java;52;56;true;false;0;5;0;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/samples/guide/src/main/java/okhttp3/recipes/CustomCipherSuites.java;158;163;true;false;0;6;0;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/samples/guide/src/main/java/okhttp3/recipes/CustomCipherSuites.java;158;163;true;false;0;6;0;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/samples/guide/src/main/java/okhttp3/recipes/ConfigureTimeouts.java;39;41;true;false;0;3;0;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/samples/guide/src/main/java/okhttp3/recipes/ConfigureTimeouts.java;39;41;true;false;0;3;0;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/samples/guide/src/main/java/okhttp3/recipes/PostFile.java;40;44;true;false;0;5;0;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/samples/guide/src/main/java/okhttp3/recipes/PostFile.java;40;44;true;false;0;5;0;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/samples/guide/src/main/java/okhttp3/recipes/AsynchronousGet.java;41;50;true;false;0;9;0;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/samples/guide/src/main/java/okhttp3/recipes/AsynchronousGet.java;41;50;true;false;0;9;0;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/samples/guide/src/main/java/okhttp3/guide/PostExample.java;22;24;true;false;0;3;0;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/samples/guide/src/main/java/okhttp3/guide/PostExample.java;22;24;true;false;0;3;0;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/samples/guide/src/main/java/okhttp3/guide/GetExample.java;16;18;true;false;0;3;0;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/samples/guide/src/main/java/okhttp3/guide/GetExample.java;16;18;true;false;0;3;0;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/samples/crawler/src/main/java/okhttp3/sample/Crawler.java;58;62;false;false;1;3;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/samples/crawler/src/main/java/okhttp3/sample/Crawler.java;78;84;false;false;1;3;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/samples/crawler/src/main/java/okhttp3/sample/Crawler.java;58;62;false;false;1;3;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/samples/crawler/src/main/java/okhttp3/sample/Crawler.java;78;84;false;false;1;3;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-testing-support/src/main/java/okhttp3/FakeDns.java;65;77;false;false;1;10;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-testing-support/src/main/java/okhttp3/FakeDns.java;65;77;false;false;1;10;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/main/java/okhttp3/AutobahnTester.java;45;56;false;false;0;8;0;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/main/java/okhttp3/AutobahnTester.java;86;92;false;false;1;5;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/main/java/okhttp3/AutobahnTester.java;118;124;false;false;1;5;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/main/java/okhttp3/AutobahnTester.java;144;150;false;false;1;5;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/main/java/okhttp3/AutobahnTester.java;45;56;false;false;0;8;0;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/main/java/okhttp3/AutobahnTester.java;86;92;false;false;1;5;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/main/java/okhttp3/AutobahnTester.java;118;124;false;false;1;5;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/main/java/okhttp3/AutobahnTester.java;144;150;false;false;1;5;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/connection/RouteSelectorTest.java;95;99;false;false;1;4;2;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/connection/RouteSelectorTest.java;113;117;false;false;1;4;2;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/connection/RouteSelectorTest.java;245;249;false;false;1;4;2;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/connection/RouteSelectorTest.java;95;99;false;false;1;4;2;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/connection/RouteSelectorTest.java;113;117;false;false;1;4;2;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/connection/RouteSelectorTest.java;245;249;false;false;1;4;2;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2ConnectionTest.java;238;244;false;false;1;5;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2ConnectionTest.java;247;251;false;false;1;4;2;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2ConnectionTest.java;486;490;false;false;1;4;2;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2ConnectionTest.java;491;495;false;false;1;4;2;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2ConnectionTest.java;763;769;false;false;1;5;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2ConnectionTest.java;770;775;false;false;1;4;2;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2ConnectionTest.java;805;810;false;false;1;4;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2ConnectionTest.java;811;817;false;false;1;5;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2ConnectionTest.java;849;854;false;false;1;4;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2ConnectionTest.java;999;1004;false;false;1;4;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2ConnectionTest.java;1035;1041;false;false;1;5;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2ConnectionTest.java;1044;1048;false;false;1;4;2;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2ConnectionTest.java;1106;1110;false;false;1;4;2;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2ConnectionTest.java;1133;1137;false;false;1;4;2;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2ConnectionTest.java;1139;1145;false;false;1;5;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2ConnectionTest.java;1146;1151;false;false;1;4;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2ConnectionTest.java;1191;1195;false;false;1;4;2;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2ConnectionTest.java;1221;1225;false;false;1;4;2;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2ConnectionTest.java;1260;1264;false;false;1;4;2;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2ConnectionTest.java;1305;1309;false;false;1;4;2;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2ConnectionTest.java;1504;1509;false;false;1;4;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2ConnectionTest.java;1567;1572;false;false;1;4;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2ConnectionTest.java;238;244;false;false;1;5;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2ConnectionTest.java;247;251;false;false;1;4;2;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2ConnectionTest.java;486;490;false;false;1;4;2;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2ConnectionTest.java;491;495;false;false;1;4;2;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2ConnectionTest.java;763;769;false;false;1;5;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2ConnectionTest.java;770;775;false;false;1;4;2;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2ConnectionTest.java;805;810;false;false;1;4;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2ConnectionTest.java;811;817;false;false;1;5;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2ConnectionTest.java;849;854;false;false;1;4;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2ConnectionTest.java;999;1004;false;false;1;4;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2ConnectionTest.java;1035;1041;false;false;1;5;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2ConnectionTest.java;1044;1048;false;false;1;4;2;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2ConnectionTest.java;1106;1110;false;false;1;4;2;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2ConnectionTest.java;1133;1137;false;false;1;4;2;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2ConnectionTest.java;1139;1145;false;false;1;5;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2ConnectionTest.java;1146;1151;false;false;1;4;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2ConnectionTest.java;1191;1195;false;false;1;4;2;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2ConnectionTest.java;1221;1225;false;false;1;4;2;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2ConnectionTest.java;1260;1264;false;false;1;4;2;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2ConnectionTest.java;1305;1309;false;false;1;4;2;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2ConnectionTest.java;1504;1509;false;false;1;4;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2ConnectionTest.java;1567;1572;false;false;1;4;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/HttpOverHttp2Test.java;355;360;false;false;1;4;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/HttpOverHttp2Test.java;420;425;false;false;1;4;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/HttpOverHttp2Test.java;463;467;false;false;1;4;2;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/HttpOverHttp2Test.java;727;732;false;false;1;4;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/HttpOverHttp2Test.java;1016;1024;false;false;1;5;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/HttpOverHttp2Test.java;1114;1123;false;false;1;6;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/HttpOverHttp2Test.java;355;360;false;false;1;4;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/HttpOverHttp2Test.java;420;425;false;false;1;4;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/HttpOverHttp2Test.java;463;467;false;false;1;4;2;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/HttpOverHttp2Test.java;727;732;false;false;1;4;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/HttpOverHttp2Test.java;1016;1024;false;false;1;5;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/HttpOverHttp2Test.java;1114;1123;false;false;1;6;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2Test.java;256;261;false;false;1;4;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2Test.java;289;294;false;false;1;4;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2Test.java;305;310;false;false;1;4;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2Test.java;321;326;false;false;1;4;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2Test.java;337;342;false;false;1;4;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2Test.java;404;409;false;false;1;4;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2Test.java;425;431;false;false;1;4;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2Test.java;530;535;false;false;1;4;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2Test.java;559;565;false;false;1;4;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2Test.java;566;572;false;false;1;4;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2Test.java;627;633;false;false;1;4;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2Test.java;650;657;false;false;1;6;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2Test.java;256;261;false;false;1;4;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2Test.java;289;294;false;false;1;4;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2Test.java;305;310;false;false;1;4;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2Test.java;321;326;false;false;1;4;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2Test.java;337;342;false;false;1;4;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2Test.java;404;409;false;false;1;4;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2Test.java;425;431;false;false;1;4;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2Test.java;530;535;false;false;1;4;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2Test.java;559;565;false;false;1;4;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2Test.java;566;572;false;false;1;4;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2Test.java;627;633;false;false;1;4;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/Http2Test.java;650;657;false;false;1;6;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/MockHttp2Peer.java;115;120;false;false;1;3;4;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/MockHttp2Peer.java;115;120;false;false;1;3;4;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/HpackTest.java;396;401;false;false;1;4;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/HpackTest.java;408;413;false;false;1;4;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/HpackTest.java;421;426;false;false;1;4;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/HpackTest.java;450;455;false;false;1;4;3;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/http2/HpackTest.java;463;468;false;false;1;4;3;
